from,indexvertexfrom,to,indexvertexto,altname,unixtimestamp,date,open,high,low,close,vwap,volume,count
NOT,324,EUR,167,NOTEUR,1761868800,2025-10-31,0.000649,0.000664,0.000625,0.000664,0.000649,1778882.63519,23
NOT,324,USD,490,NOTUSD,1761868800,2025-10-31,0.000731,0.000778,0.000731,0.000760,0.000749,7794876.92945,120
NPC,325,EUR,167,NPCEUR,1761868800,2025-10-31,0.010157,0.013036,0.010116,0.011759,0.011476,2745696.28967,1673
NPC,325,USD,490,NPCUSD,1761868800,2025-10-31,0.012620,0.016000,0.011868,0.013650,0.013185,4269373.07287,1401
NTRN,326,EUR,167,NTRNEUR,1761868800,2025-10-31,0.0379,0.0381,0.0374,0.0378,0.0377,22803.45752,13
NTRN,326,USD,490,NTRNUSD,1761868800,2025-10-31,0.0432,0.0444,0.0430,0.0435,0.0434,43048.32545,26
NYM,327,EUR,167,NYMEUR,1761868800,2025-10-31,0.0383,0.0383,0.0359,0.0367,0.0363,7160.33997007,17
NYM,327,USD,490,NYMUSD,1761868800,2025-10-31,0.0451,0.0451,0.0413,0.0427,0.0435,103306.62266524,100
OCEAN,328,EUR,167,OCEANEUR,1761868800,2025-10-31,0.2552,0.2741,0.2300,0.2514,0.2489,21386.12655480,81
OCEAN,328,USD,490,OCEANUSD,1761868800,2025-10-31,0.2915,0.3131,0.2568,0.2889,0.2914,183401.32722092,1130
ODOS,329,EUR,167,ODOSEUR,1761868800,2025-10-31,0.003161,0.003161,0.003161,0.003161,0.003161,1558.40000,1
ODOS,329,USD,490,ODOSUSD,1761868800,2025-10-31,0.003444,0.003452,0.003372,0.003449,0.003427,163972.20389,28
OGN,330,EUR,167,OGNEUR,1761868800,2025-10-31,0.03861,0.04149,0.03861,0.03926,0.03922,140553.05873362,43
OGN,330,USD,490,OGNUSD,1761868800,2025-10-31,0.04460,0.04601,0.04453,0.04519,0.04519,115316.99011450,24
OM,331,EUR,167,OMEUR,1761868800,2025-10-31,0.0883,0.1037,0.0883,0.0905,0.0949,270074.89440,748
OMG,332,EUR,167,OMGEUR,1761868800,2025-10-31,0.090475,0.096666,0.090475,0.092956,0.093988,3992.53931331,10
OMG,332,USD,490,OMGUSD,1761868800,2025-10-31,0.107981,0.113417,0.107981,0.108426,0.110362,38883.66374944,120
OMNI,333,EUR,167,OMNIEUR,1761868800,2025-10-31,1.695,1.695,1.695,1.695,0.000,0.00000,0
