altname,wsname,indexofslash,from,to,quote,indexvertexfrom,indexvertexto
MEMEEUR,MEME/EUR,4,MEME,EUR,ZEUR,285,167
MEMEUSD,MEME/USD,4,MEME,USD,ZUSD,285,490
MERLEUR,MERL/EUR,4,MERL,EUR,ZEUR,286,167
MERLUSD,MERL/USD,4,MERL,USD,ZUSD,286,490
METEUR,MET/EUR,3,MET,EUR,ZEUR,287,167
METHETH,METH/ETH,4,METH,ETH,XETH,288,163
METHUSD,METH/USD,4,METH,USD,ZUSD,288,490
METISEUR,METIS/EUR,5,METIS,EUR,ZEUR,289,167
METISUSD,METIS/USD,5,METIS,USD,ZUSD,289,490
METUSD,MET/USD,3,MET,USD,ZUSD,287,490
MEUR,M/EUR,1,M,EUR,ZEUR,278,167
MEUSD,ME/USD,2,ME,USD,ZUSD,283,490
MEWEUR,MEW/EUR,3,MEW,EUR,ZEUR,290,167
MEWUSD,MEW/USD,3,MEW,USD,ZUSD,290,490
MFEUR,MF/EUR,2,MF,EUR,ZEUR,291,167
MFUSD,MF/USD,2,MF,USD,ZUSD,291,490
MICHIEUR,MICHI/EUR,5,MICHI,EUR,ZEUR,292,167
MICHIUSD,MICHI/USD,5,MICHI,USD,ZUSD,292,490
MIMEUR,MIM/EUR,3,MIM,EUR,ZEUR,293,167
MIMUSD,MIM/USD,3,MIM,USD,ZUSD,293,490
MINAEUR,MINA/EUR,4,MINA,EUR,ZEUR,294,167
MINAGBP,MINA/GBP,4,MINA,GBP,ZGBP,294,194
MINAUSD,MINA/USD,4,MINA,USD,ZUSD,294,490
MINAXBT,MINA/XBT,4,MINA,XBT,XXBT,294,529
MIRAEUR,MIRA/EUR,4,MIRA,EUR,ZEUR,296,167
MIRAUSD,MIRA/USD,4,MIRA,USD,ZUSD,296,490
MIREUR,MIR/EUR,3,MIR,EUR,ZEUR,295,167
MIRROREUR,MIRROR/EUR,6,MIRROR,EUR,ZEUR,297,167
MIRRORUSD,MIRROR/USD,6,MIRROR,USD,ZUSD,297,490
MIRUSD,MIR/USD,3,MIR,USD,ZUSD,295,490
MNGOEUR,MNGO/EUR,4,MNGO,EUR,ZEUR,299,167
MNGOUSD,MNGO/USD,4,MNGO,USD,ZUSD,299,490
MNTEUR,MNT/EUR,3,MNT,EUR,ZEUR,300,167
MNTUSD,MNT/USD,3,MNT,USD,ZUSD,300,490
MOCAEUR,MOCA/EUR,4,MOCA,EUR,ZEUR,301,167
MOCAUSD,MOCA/USD,4,MOCA,USD,ZUSD,301,490
MOGEUR,MOG/EUR,3,MOG,EUR,ZEUR,302,167
MOGUSD,MOG/USD,3,MOG,USD,ZUSD,302,490
MOODENGEUR,MOODENG/EUR,7,MOODENG,EUR,ZEUR,303,167
MOODENGUSD,MOODENG/USD,7,MOODENG,USD,ZUSD,303,490
MOONEUR,MOON/EUR,4,MOON,EUR,ZEUR,304,167
MOONUSD,MOON/USD,4,MOON,USD,ZUSD,304,490
MORPHOEUR,MORPHO/EUR,6,MORPHO,EUR,ZEUR,305,167
MORPHOUSD,MORPHO/USD,6,MORPHO,USD,ZUSD,305,490
MOVEEUR,MOVE/EUR,4,MOVE,EUR,ZEUR,306,167
MOVEUSD,MOVE/USD,4,MOVE,USD,ZUSD,306,490
MOVREUR,MOVR/EUR,4,MOVR,EUR,ZEUR,307,167
MOVRUSD,MOVR/USD,4,MOVR,USD,ZUSD,307,490
MSOLEUR,MSOL/EUR,4,MSOL,EUR,ZEUR,308,167
MSOLUSD,MSOL/USD,4,MSOL,USD,ZUSD,308,490
MUBARAKEUR,MUBARAK/EUR,7,MUBARAK,EUR,ZEUR,309,167
MUBARAKUSD,MUBARAK/USD,7,MUBARAK,USD,ZUSD,309,490
MULTIEUR,MULTI/EUR,5,MULTI,EUR,ZEUR,310,167
MULTIUSD,MULTI/USD,5,MULTI,USD,ZUSD,310,490
MUSD,M/USD,1,M,USD,ZUSD,278,490
MVEUR,MV/EUR,2,MV,EUR,ZEUR,311,167
MVUSD,MV/USD,2,MV,USD,ZUSD,311,490
MXCEUR,MXC/EUR,3,MXC,EUR,ZEUR,312,167
MXCUSD,MXC/USD,3,MXC,USD,ZUSD,312,490
MXNBUSD,MXNB/USD,4,MXNB,USD,ZUSD,313,490
MYXEUR,MYX/EUR,3,MYX,EUR,ZEUR,314,167
MYXUSD,MYX/USD,3,MYX,USD,ZUSD,314,490
NANOEUR,NANO/EUR,4,NANO,EUR,ZEUR,315,167
NANOUSD,NANO/USD,4,NANO,USD,ZUSD,315,490
NEAREUR,NEAR/EUR,4,NEAR,EUR,ZEUR,316,167
NEARUSD,NEAR/USD,4,NEAR,USD,ZUSD,316,490
NEIROEUR,NEIRO/EUR,5,NEIRO,EUR,ZEUR,317,167
NEIROUSD,NEIRO/USD,5,NEIRO,USD,ZUSD,317,490
NILEUR,NIL/EUR,3,NIL,EUR,ZEUR,318,167
NILUSD,NIL/USD,3,NIL,USD,ZUSD,318,490
NMREUR,NMR/EUR,3,NMR,EUR,ZEUR,319,167
NMRUSD,NMR/USD,3,NMR,USD,ZUSD,319,490
NOBODYEUR,NOBODY/EUR,6,NOBODY,EUR,ZEUR,320,167
NOBODYUSD,NOBODY/USD,6,NOBODY,USD,ZUSD,320,490
NODEEUR,NODE/EUR,4,NODE,EUR,ZEUR,321,167
NODEUSD,NODE/USD,4,NODE,USD,ZUSD,321,490
NODLEUR,NODL/EUR,4,NODL,EUR,ZEUR,322,167
NODLUSD,NODL/USD,4,NODL,USD,ZUSD,322,490
NOSEUR,NOS/EUR,3,NOS,EUR,ZEUR,323,167
NOSUSD,NOS/USD,3,NOS,USD,ZUSD,323,490
