altname,wsname,indexofslash,from,to,quote,indexvertexfrom,indexvertexto
0GEUR,0G/EUR,2,0G,EUR,ZEUR,1,167
0GUSD,0G/USD,2,0G,USD,ZUSD,1,490
1INCHEUR,1INCH/EUR,5,1INCH,EUR,ZEUR,2,167
1INCHUSD,1INCH/USD,5,1INCH,USD,ZUSD,2,490
2ZEUR,2Z/EUR,2,2Z,EUR,ZEUR,3,167
2ZUSD,2Z/USD,2,2Z,USD,ZUSD,3,490
AAVEETH,AAVE/ETH,4,AAVE,ETH,XETH,5,163
AAVEEUR,AAVE/EUR,4,AAVE,EUR,ZEUR,5,167
AAVEGBP,AAVE/GBP,4,AAVE,GBP,ZGBP,5,194
AAVEUSD,AAVE/USD,4,AAVE,USD,ZUSD,5,490
AAVEXBT,AAVE/XBT,4,AAVE,XBT,XXBT,5,529
ABEUR,AB/EUR,2,AB,EUR,ZEUR,6,167
ABUSD,AB/USD,2,AB,USD,ZUSD,6,490
ACAEUR,ACA/EUR,3,ACA,EUR,ZEUR,7,167
ACAUSD,ACA/USD,3,ACA,USD,ZUSD,7,490
ACHEUR,ACH/EUR,3,ACH,EUR,ZEUR,8,167
ACHUSD,ACH/USD,3,ACH,USD,ZUSD,8,490
ACTEUR,ACT/EUR,3,ACT,EUR,ZEUR,9,167
ACTUSD,ACT/USD,3,ACT,USD,ZUSD,9,490
ACXEUR,ACX/EUR,3,ACX,EUR,ZEUR,10,167
ACXUSD,ACX/USD,3,ACX,USD,ZUSD,10,490
ADAAUD,ADA/AUD,3,ADA,AUD,ZAUD,11,54
ADAETH,ADA/ETH,3,ADA,ETH,XETH,11,163
ADAEUR,ADA/EUR,3,ADA,EUR,ZEUR,11,167
ADAGBP,ADA/GBP,3,ADA,GBP,ZGBP,11,194
ADAUSD,ADA/USD,3,ADA,USD,ZUSD,11,490
ADAUSDC,ADA/USDC,3,ADA,USDC,USDC,11,492
ADAUSDT,ADA/USDT,3,ADA,USDT,USDT,11,499
ADAXBT,ADA/XBT,3,ADA,XBT,XXBT,11,529
ADXEUR,ADX/EUR,3,ADX,EUR,ZEUR,12,167
ADXUSD,ADX/USD,3,ADX,USD,ZUSD,12,490
AEROEUR,AERO/EUR,4,AERO,EUR,ZEUR,13,167
AEROUSD,AERO/USD,4,AERO,USD,ZUSD,13,490
AEUR,A/EUR,1,A,EUR,ZEUR,4,167
AEVOEUR,AEVO/EUR,4,AEVO,EUR,ZEUR,14,167
AEVOUSD,AEVO/USD,4,AEVO,USD,ZUSD,14,490
AGLDEUR,AGLD/EUR,4,AGLD,EUR,ZEUR,15,167
AGLDUSD,AGLD/USD,4,AGLD,USD,ZUSD,15,490
AI16ZEUR,AI16Z/EUR,5,AI16Z,EUR,ZEUR,16,167
AI16ZUSD,AI16Z/USD,5,AI16Z,USD,ZUSD,16,490
AI16ZUSDC,AI16Z/USDC,5,AI16Z,USDC,USDC,16,492
AI16ZUSDT,AI16Z/USDT,5,AI16Z,USDT,USDT,16,499
AI3EUR,AI3/EUR,3,AI3,EUR,ZEUR,17,167
AI3USD,AI3/USD,3,AI3,USD,ZUSD,17,490
AIOZEUR,AIOZ/EUR,4,AIOZ,EUR,ZEUR,18,167
AIOZUSD,AIOZ/USD,4,AIOZ,USD,ZUSD,18,490
AIREUR,AIR/EUR,3,AIR,EUR,ZEUR,19,167
AIRUSD,AIR/USD,3,AIR,USD,ZUSD,19,490
AIXBTEUR,AIXBT/EUR,5,AIXBT,EUR,ZEUR,20,167
AIXBTUSD,AIXBT/USD,5,AIXBT,USD,ZUSD,20,490
AKEEUR,AKE/EUR,3,AKE,EUR,ZEUR,21,167
AKEUSD,AKE/USD,3,AKE,USD,ZUSD,21,490
AKTEUR,AKT/EUR,3,AKT,EUR,ZEUR,22,167
AKTUSD,AKT/USD,3,AKT,USD,ZUSD,22,490
ALCHEUR,ALCH/EUR,4,ALCH,EUR,ZEUR,23,167
ALCHUSD,ALCH/USD,4,ALCH,USD,ZUSD,23,490
ALCXEUR,ALCX/EUR,4,ALCX,EUR,ZEUR,24,167
ALCXUSD,ALCX/USD,4,ALCX,USD,ZUSD,24,490
ALGOETH,ALGO/ETH,4,ALGO,ETH,XETH,25,163
ALGOEUR,ALGO/EUR,4,ALGO,EUR,ZEUR,25,167
ALGOGBP,ALGO/GBP,4,ALGO,GBP,ZGBP,25,194
ALGOUSD,ALGO/USD,4,ALGO,USD,ZUSD,25,490
ALGOUSDC,ALGO/USDC,4,ALGO,USDC,USDC,25,492
ALGOUSDT,ALGO/USDT,4,ALGO,USDT,USDT,25,499
ALGOXBT,ALGO/XBT,4,ALGO,XBT,XXBT,25,529
ALICEEUR,ALICE/EUR,5,ALICE,EUR,ZEUR,26,167
ALICEUSD,ALICE/USD,5,ALICE,USD,ZUSD,26,490
ALKIMIEUR,ALKIMI/EUR,6,ALKIMI,EUR,ZEUR,27,167
ALKIMIUSD,ALKIMI/USD,6,ALKIMI,USD,ZUSD,27,490
ALPHAEUR,ALPHA/EUR,5,ALPHA,EUR,ZEUR,28,167
ALPHAUSD,ALPHA/USD,5,ALPHA,USD,ZUSD,28,490
ALTEUR,ALT/EUR,3,ALT,EUR,ZEUR,29,167
ALTHEAEUR,ALTHEA/EUR,6,ALTHEA,EUR,ZEUR,30,167
ALTHEAUSD,ALTHEA/USD,6,ALTHEA,USD,ZUSD,30,490
ALTUSD,ALT/USD,3,ALT,USD,ZUSD,29,490
ANIMEEUR,ANIME/EUR,5,ANIME,EUR,ZEUR,31,167
ANIMEUSD,ANIME/USD,5,ANIME,USD,ZUSD,31,490
ANKREUR,ANKR/EUR,4,ANKR,EUR,ZEUR,32,167
ANKRUSD,ANKR/USD,4,ANKR,USD,ZUSD,32,490
ANKRXBT,ANKR/XBT,4,ANKR,XBT,XXBT,32,529
ANLOGEUR,ANLOG/EUR,5,ANLOG,EUR,ZEUR,33,167
ANLOGUSD,ANLOG/USD,5,ANLOG,USD,ZUSD,33,490
ANONEUR,ANON/EUR,4,ANON,EUR,ZEUR,34,167
ANONUSD,ANON/USD,4,ANON,USD,ZUSD,34,490
APEEUR,APE/EUR,3,APE,EUR,ZEUR,35,167
APENFTEUR,APENFT/EUR,6,APENFT,EUR,ZEUR,36,167
APENFTUSD,APENFT/USD,6,APENFT,USD,ZUSD,36,490
APEUSD,APE/USD,3,APE,USD,ZUSD,35,490
APEUSDC,APE/USDC,3,APE,USDC,USDC,35,492
APEUSDT,APE/USDT,3,APE,USDT,USDT,35,499
API3EUR,API3/EUR,4,API3,EUR,ZEUR,37,167
API3USD,API3/USD,4,API3,USD,ZUSD,37,490
APREUR,APR/EUR,3,APR,EUR,ZEUR,38,167
APRUSD,APR/USD,3,APR,USD,ZUSD,38,490
APTEUR,APT/EUR,3,APT,EUR,ZEUR,39,167
APTUSD,APT/USD,3,APT,USD,ZUSD,39,490
APUEUR,APU/EUR,3,APU,EUR,ZEUR,40,167
APUUSD,APU/USD,3,APU,USD,ZUSD,40,490
ARBEUR,ARB/EUR,3,ARB,EUR,ZEUR,42,167
ARBUSD,ARB/USD,3,ARB,USD,ZUSD,42,490
ARCEUR,ARC/EUR,3,ARC,EUR,ZEUR,43,167
ARCUSD,ARC/USD,3,ARC,USD,ZUSD,43,490
AREUR,AR/EUR,2,AR,EUR,ZEUR,41,167
ARKMEUR,ARKM/EUR,4,ARKM,EUR,ZEUR,44,167
ARKMUSD,ARKM/USD,4,ARKM,USD,ZUSD,44,490
ARPAEUR,ARPA/EUR,4,ARPA,EUR,ZEUR,45,167
ARPAUSD,ARPA/USD,4,ARPA,USD,ZUSD,45,490
ARTEUR,ART/EUR,3,ART,EUR,ZEUR,46,167
ARTUSD,ART/USD,3,ART,USD,ZUSD,46,490
ARUSD,AR/USD,2,AR,USD,ZUSD,41,490
ASRREUR,ASRR/EUR,4,ASRR,EUR,ZEUR,47,167
ASRRUSD,ASRR/USD,4,ASRR,USD,ZUSD,47,490
ASTEREUR,ASTER/EUR,5,ASTER,EUR,ZEUR,48,167
ASTERUSD,ASTER/USD,5,ASTER,USD,ZUSD,48,490
ASTREUR,ASTR/EUR,4,ASTR,EUR,ZEUR,49,167
ASTRUSD,ASTR/USD,4,ASTR,USD,ZUSD,49,490
ATHEUR,ATH/EUR,3,ATH,EUR,ZEUR,50,167
ATHUSD,ATH/USD,3,ATH,USD,ZUSD,50,490
ATLASEUR,ATLAS/EUR,5,ATLAS,EUR,ZEUR,51,167
ATLASUSD,ATLAS/USD,5,ATLAS,USD,ZUSD,51,490
ATOMETH,ATOM/ETH,4,ATOM,ETH,XETH,52,163
ATOMEUR,ATOM/EUR,4,ATOM,EUR,ZEUR,52,167
ATOMGBP,ATOM/GBP,4,ATOM,GBP,ZGBP,52,194
ATOMUSD,ATOM/USD,4,ATOM,USD,ZUSD,52,490
ATOMUSDC,ATOM/USDC,4,ATOM,USDC,USDC,52,492
ATOMUSDT,ATOM/USDT,4,ATOM,USDT,USDT,52,499
ATOMXBT,ATOM/XBT,4,ATOM,XBT,XXBT,52,529
AUCTIONEUR,AUCTION/EUR,7,AUCTION,EUR,ZEUR,53,167
AUCTIONUSD,AUCTION/USD,7,AUCTION,USD,ZUSD,53,490
AUDIOEUR,AUDIO/EUR,5,AUDIO,EUR,ZEUR,55,167
AUDIOUSD,AUDIO/USD,5,AUDIO,USD,ZUSD,55,490
AUDJPY,AUD/JPY,3,AUD,JPY,ZJPY,54,234
AUDUSD,AUD/USD,3,AUD,USD,ZUSD,54,490
AURAEUR,AURA/EUR,4,AURA,EUR,ZEUR,56,167
AURAUSD,AURA/USD,4,AURA,USD,ZUSD,56,490
AUSD,A/USD,1,A,USD,ZUSD,4,490
AVAAIEUR,AVAAI/EUR,5,AVAAI,EUR,ZEUR,57,167
AVAAIUSD,AVAAI/USD,5,AVAAI,USD,ZUSD,57,490
AVAXEUR,AVAX/EUR,4,AVAX,EUR,ZEUR,58,167
AVAXUSD,AVAX/USD,4,AVAX,USD,ZUSD,58,490
AVAXUSDC,AVAX/USDC,4,AVAX,USDC,USDC,58,492
AVAXUSDT,AVAX/USDT,4,AVAX,USDT,USDT,58,499
AVNTEUR,AVNT/EUR,4,AVNT,EUR,ZEUR,59,167
AVNTUSD,AVNT/USD,4,AVNT,USD,ZUSD,59,490
AXSEUR,AXS/EUR,3,AXS,EUR,ZEUR,60,167
AXSUSD,AXS/USD,3,AXS,USD,ZUSD,60,490
B2EUR,B2/EUR,2,B2,EUR,ZEUR,61,167
B2USD,B2/USD,2,B2,USD,ZUSD,61,490
B3EUR,B3/EUR,2,B3,EUR,ZEUR,62,167
B3USD,B3/USD,2,B3,USD,ZUSD,62,490
BABYEUR,BABY/EUR,4,BABY,EUR,ZEUR,63,167
BABYUSD,BABY/USD,4,BABY,USD,ZUSD,63,490
BADGEREUR,BADGER/EUR,6,BADGER,EUR,ZEUR,64,167
BADGERUSD,BADGER/USD,6,BADGER,USD,ZUSD,64,490
BALEUR,BAL/EUR,3,BAL,EUR,ZEUR,65,167
BALUSD,BAL/USD,3,BAL,USD,ZUSD,65,490
BANANAS31EUR,BANANAS31/EUR,9,BANANAS31,EUR,ZEUR,66,167
BANANAS31USD,BANANAS31/USD,9,BANANAS31,USD,ZUSD,66,490
BANDEUR,BAND/EUR,4,BAND,EUR,ZEUR,67,167
BANDUSD,BAND/USD,4,BAND,USD,ZUSD,67,490
BATEUR,BAT/EUR,3,BAT,EUR,ZEUR,68,167
BATUSD,BAT/USD,3,BAT,USD,ZUSD,68,490
BCHAUD,BCH/AUD,3,BCH,AUD,ZAUD,69,54
BCHETH,BCH/ETH,3,BCH,ETH,XETH,69,163
BCHEUR,BCH/EUR,3,BCH,EUR,ZEUR,69,167
BCHGBP,BCH/GBP,3,BCH,GBP,ZGBP,69,194
BCHJPY,BCH/JPY,3,BCH,JPY,ZJPY,69,234
BCHUSD,BCH/USD,3,BCH,USD,ZUSD,69,490
BCHUSDC,BCH/USDC,3,BCH,USDC,USDC,69,492
BCHUSDT,BCH/USDT,3,BCH,USDT,USDT,69,499
BCHXBT,BCH/XBT,3,BCH,XBT,XXBT,69,529
BDXNEUR,BDXN/EUR,4,BDXN,EUR,ZEUR,70,167
BDXNUSD,BDXN/USD,4,BDXN,USD,ZUSD,70,490
BEAMEUR,BEAM/EUR,4,BEAM,EUR,ZEUR,71,167
BEAMUSD,BEAM/USD,4,BEAM,USD,ZUSD,71,490
BERAEUR,BERA/EUR,4,BERA,EUR,ZEUR,72,167
BERAUSD,BERA/USD,4,BERA,USD,ZUSD,72,490
BERAUSDC,BERA/USDC,4,BERA,USDC,USDC,72,492
BERAUSDT,BERA/USDT,4,BERA,USDT,USDT,72,499
BERTEUR,BERT/EUR,4,BERT,EUR,ZEUR,73,167
BERTUSD,BERT/USD,4,BERT,USD,ZUSD,73,490
BICOEUR,BICO/EUR,4,BICO,EUR,ZEUR,74,167
BICOUSD,BICO/USD,4,BICO,USD,ZUSD,74,490
BIGTIMEEUR,BIGTIME/EUR,7,BIGTIME,EUR,ZEUR,75,167
BIGTIMEUSD,BIGTIME/USD,7,BIGTIME,USD,ZUSD,75,490
BILLYEUR,BILLY/EUR,5,BILLY,EUR,ZEUR,76,167
BILLYUSD,BILLY/USD,5,BILLY,USD,ZUSD,76,490
BIOEUR,BIO/EUR,3,BIO,EUR,ZEUR,77,167
BIOUSD,BIO/USD,3,BIO,USD,ZUSD,77,490
BITEUR,BIT/EUR,3,BIT,EUR,ZEUR,78,167
BITUSD,BIT/USD,3,BIT,USD,ZUSD,78,490
BLESSUSD,BLESS/USD,5,BLESS,USD,ZUSD,79,490
BLUAIEUR,BLUAI/EUR,5,BLUAI,EUR,ZEUR,80,167
BLUAIUSD,BLUAI/USD,5,BLUAI,USD,ZUSD,80,490
BLUREUR,BLUR/EUR,4,BLUR,EUR,ZEUR,81,167
BLURUSD,BLUR/USD,4,BLUR,USD,ZUSD,81,490
BLZEUR,BLZ/EUR,3,BLZ,EUR,ZEUR,82,167
BLZUSD,BLZ/USD,3,BLZ,USD,ZUSD,82,490
BMTEUR,BMT/EUR,3,BMT,EUR,ZEUR,83,167
BMTUSD,BMT/USD,3,BMT,USD,ZUSD,83,490
BNBEUR,BNB/EUR,3,BNB,EUR,ZEUR,84,167
BNBUSD,BNB/USD,3,BNB,USD,ZUSD,84,490
BNBUSDC,BNB/USDC,3,BNB,USDC,USDC,84,492
BNBUSDT,BNB/USDT,3,BNB,USDT,USDT,84,499
BNCEUR,BNC/EUR,3,BNC,EUR,ZEUR,85,167
BNCUSD,BNC/USD,3,BNC,USD,ZUSD,85,490
BNTEUR,BNT/EUR,3,BNT,EUR,ZEUR,86,167
BNTUSD,BNT/USD,3,BNT,USD,ZUSD,86,490
BOBAEUR,BOBA/EUR,4,BOBA,EUR,ZEUR,87,167
BOBAUSD,BOBA/USD,4,BOBA,USD,ZUSD,87,490
BODENEUR,BODEN/EUR,5,BODEN,EUR,ZEUR,88,167
BODENUSD,BODEN/USD,5,BODEN,USD,ZUSD,88,490
BONDEUR,BOND/EUR,4,BOND,EUR,ZEUR,89,167
BONDUSD,BOND/USD,4,BOND,USD,ZUSD,89,490
BONKEUR,BONK/EUR,4,BONK,EUR,ZEUR,90,167
BONKUSD,BONK/USD,4,BONK,USD,ZUSD,90,490
BOSEUR,BOS/EUR,3,BOS,EUR,ZEUR,91,167
BOSUSD,BOS/USD,3,BOS,USD,ZUSD,91,490
BRICKEUR,BRICK/EUR,5,BRICK,EUR,ZEUR,92,167
BRICKUSD,BRICK/USD,5,BRICK,USD,ZUSD,92,490
BSXEUR,BSX/EUR,3,BSX,EUR,ZEUR,93,167
BSXUSD,BSX/USD,3,BSX,USD,ZUSD,93,490
BTREUR,BTR/EUR,3,BTR,EUR,ZEUR,94,167
BTRUSD,BTR/USD,3,BTR,USD,ZUSD,94,490
BTTEUR,BTT/EUR,3,BTT,EUR,ZEUR,95,167
BTTUSD,BTT/USD,3,BTT,USD,ZUSD,95,490
C98EUR,C98/EUR,3,C98,EUR,ZEUR,96,167
C98USD,C98/USD,3,C98,USD,ZUSD,96,490
CAKEEUR,CAKE/EUR,4,CAKE,EUR,ZEUR,98,167
CAKEUSD,CAKE/USD,4,CAKE,USD,ZUSD,98,490
CAMPEUR,CAMP/EUR,4,CAMP,EUR,ZEUR,99,167
CAMPUSD,CAMP/USD,4,CAMP,USD,ZUSD,99,490
CARVEUR,CARV/EUR,4,CARV,EUR,ZEUR,100,167
CARVUSD,CARV/USD,4,CARV,USD,ZUSD,100,490
CATEUR,CAT/EUR,3,CAT,EUR,ZEUR,101,167
CATUSD,CAT/USD,3,CAT,USD,ZUSD,101,490
CCDEUR,CCD/EUR,3,CCD,EUR,ZEUR,102,167
CCDUSD,CCD/USD,3,CCD,USD,ZUSD,102,490
CELOEUR,CELO/EUR,4,CELO,EUR,ZEUR,103,167
CELOUSD,CELO/USD,4,CELO,USD,ZUSD,103,490
CELREUR,CELR/EUR,4,CELR,EUR,ZEUR,104,167
CELRUSD,CELR/USD,4,CELR,USD,ZUSD,104,490
CFGEUR,CFG/EUR,3,CFG,EUR,ZEUR,105,167
CFGUSD,CFG/USD,3,CFG,USD,ZUSD,105,490
CGNEUR,CGN/EUR,3,CGN,EUR,ZEUR,106,167
CGNUSD,CGN/USD,3,CGN,USD,ZUSD,106,490
CHEEMSEUR,CHEEMS/EUR,6,CHEEMS,EUR,ZEUR,107,167
CHEEMSUSD,CHEEMS/USD,6,CHEEMS,USD,ZUSD,107,490
CHEXEUR,CHEX/EUR,4,CHEX,EUR,ZEUR,108,167
CHEXUSD,CHEX/USD,4,CHEX,USD,ZUSD,108,490
CHILLHOUSEEUR,CHILLHOUSE/EUR,10,CHILLHOUSE,EUR,ZEUR,110,167
CHILLHOUSEUSD,CHILLHOUSE/USD,10,CHILLHOUSE,USD,ZUSD,110,490
CHREUR,CHR/EUR,3,CHR,EUR,ZEUR,111,167
CHRUSD,CHR/USD,3,CHR,USD,ZUSD,111,490
CHZEUR,CHZ/EUR,3,CHZ,EUR,ZEUR,112,167
CHZUSD,CHZ/USD,3,CHZ,USD,ZUSD,112,490
CLANKEREUR,CLANKER/EUR,7,CLANKER,EUR,ZEUR,113,167
CLANKERUSD,CLANKER/USD,7,CLANKER,USD,ZUSD,113,490
CLOUDEUR,CLOUD/EUR,5,CLOUD,EUR,ZEUR,114,167
CLOUDUSD,CLOUD/USD,5,CLOUD,USD,ZUSD,114,490
CLVEUR,CLV/EUR,3,CLV,EUR,ZEUR,115,167
CLVUSD,CLV/USD,3,CLV,USD,ZUSD,115,490
CMETHETH,CMETH/ETH,5,CMETH,ETH,XETH,116,163
CMETHUSD,CMETH/USD,5,CMETH,USD,ZUSD,116,490
COMPEUR,COMP/EUR,4,COMP,EUR,ZEUR,117,167
COMPUSD,COMP/USD,4,COMP,USD,ZUSD,117,490
COMPXBT,COMP/XBT,4,COMP,XBT,XXBT,117,529
COOKIEEUR,COOKIE/EUR,6,COOKIE,EUR,ZEUR,118,167
COOKIEUSD,COOKIE/USD,6,COOKIE,USD,ZUSD,118,490
COQEUR,COQ/EUR,3,COQ,EUR,ZEUR,119,167
COQUSD,COQ/USD,3,COQ,USD,ZUSD,119,490
CORNEUR,CORN/EUR,4,CORN,EUR,ZEUR,120,167
CORNUSD,CORN/USD,4,CORN,USD,ZUSD,120,490
COTIEUR,COTI/EUR,4,COTI,EUR,ZEUR,121,167
COTIUSD,COTI/USD,4,COTI,USD,ZUSD,121,490
COWEUR,COW/EUR,3,COW,EUR,ZEUR,122,167
COWUSD,COW/USD,3,COW,USD,ZUSD,122,490
CPOOLEUR,CPOOL/EUR,5,CPOOL,EUR,ZEUR,123,167
CPOOLUSD,CPOOL/USD,5,CPOOL,USD,ZUSD,123,490
CQTEUR,CQT/EUR,3,CQT,EUR,ZEUR,124,167
CQTUSD,CQT/USD,3,CQT,USD,ZUSD,124,490
CROEUR,CRO/EUR,3,CRO,EUR,ZEUR,125,167
CROUSD,CRO/USD,3,CRO,USD,ZUSD,125,490
CROUSDC,CRO/USDC,3,CRO,USDC,USDC,125,492
CROUSDT,CRO/USDT,3,CRO,USDT,USDT,125,499
CRVEUR,CRV/EUR,3,CRV,EUR,ZEUR,126,167
CRVUSD,CRV/USD,3,CRV,USD,ZUSD,126,490
CSMEUR,CSM/EUR,3,CSM,EUR,ZEUR,127,167
CSMUSD,CSM/USD,3,CSM,USD,ZUSD,127,490
CTCEUR,CTC/EUR,3,CTC,EUR,ZEUR,128,167
CTCUSD,CTC/USD,3,CTC,USD,ZUSD,128,490
CTSIEUR,CTSI/EUR,4,CTSI,EUR,ZEUR,129,167
CTSIUSD,CTSI/USD,4,CTSI,USD,ZUSD,129,490
CVCEUR,CVC/EUR,3,CVC,EUR,ZEUR,130,167
CVCUSD,CVC/USD,3,CVC,USD,ZUSD,130,490
CVXEUR,CVX/EUR,3,CVX,EUR,ZEUR,131,167
CVXUSD,CVX/USD,3,CVX,USD,ZUSD,131,490
CXTEUR,CXT/EUR,3,CXT,EUR,ZEUR,132,167
CXTUSD,CXT/USD,3,CXT,USD,ZUSD,132,490
CYBEREUR,CYBER/EUR,5,CYBER,EUR,ZEUR,133,167
CYBERUSD,CYBER/USD,5,CYBER,USD,ZUSD,133,490
DAIEUR,DAI/EUR,3,DAI,EUR,ZEUR,134,167
DAIUSD,DAI/USD,3,DAI,USD,ZUSD,134,490
DAIUSDT,DAI/USDT,3,DAI,USDT,USDT,134,499
DASHEUR,DASH/EUR,4,DASH,EUR,ZEUR,135,167
DASHUSD,DASH/USD,4,DASH,USD,ZUSD,135,490
DBREUR,DBR/EUR,3,DBR,EUR,ZEUR,136,167
DBRUSD,DBR/USD,3,DBR,USD,ZUSD,136,490
DEEPEUR,DEEP/EUR,4,DEEP,EUR,ZEUR,137,167
DEEPUSD,DEEP/USD,4,DEEP,USD,ZUSD,137,490
DEGENEUR,DEGEN/EUR,5,DEGEN,EUR,ZEUR,138,167
DEGENUSD,DEGEN/USD,5,DEGEN,USD,ZUSD,138,490
DENTEUR,DENT/EUR,4,DENT,EUR,ZEUR,139,167
DENTUSD,DENT/USD,4,DENT,USD,ZUSD,139,490
DMCEUR,DMC/EUR,3,DMC,EUR,ZEUR,140,167
DMCUSD,DMC/USD,3,DMC,USD,ZUSD,140,490
DOGEUR,DOG/EUR,3,DOG,EUR,ZEUR,141,167
DOGSEUR,DOGS/EUR,4,DOGS,EUR,ZEUR,142,167
DOGSUSD,DOGS/USD,4,DOGS,USD,ZUSD,142,490
DOGUSD,DOG/USD,3,DOG,USD,ZUSD,141,490
DOLOEUR,DOLO/EUR,4,DOLO,EUR,ZEUR,143,167
DOLOUSD,DOLO/USD,4,DOLO,USD,ZUSD,143,490
DOTETH,DOT/ETH,3,DOT,ETH,XETH,144,163
DOTEUR,DOT/EUR,3,DOT,EUR,ZEUR,144,167
DOTGBP,DOT/GBP,3,DOT,GBP,ZGBP,144,194
DOTJPY,DOT/JPY,3,DOT,JPY,ZJPY,144,234
DOTUSD,DOT/USD,3,DOT,USD,ZUSD,144,490
DOTUSDC,DOT/USDC,3,DOT,USDC,USDC,144,492
DOTUSDT,DOT/USDT,3,DOT,USDT,USDT,144,499
DOTXBT,DOT/XBT,3,DOT,XBT,XXBT,144,529
DRIFTEUR,DRIFT/EUR,5,DRIFT,EUR,ZEUR,145,167
DRIFTUSD,DRIFT/USD,5,DRIFT,USD,ZUSD,145,490
DRVEUR,DRV/EUR,3,DRV,EUR,ZEUR,146,167
